Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
30, 12140.00, 0.10, 0.40, 100, twoPointCrossover, swapMutation, 624
30, 12210.00, 0.10, 0.40, 100, twoPointCrossover, inversionMutation, 663
30, 12070.00, 0.10, 0.80, 100, crossover, swapMutation, 290
30, 12220.00, 0.10, 0.40, 100, twoPointCrossover, flipMutation, 700
30, 12060.00, 0.10, 0.40, 100, singlePointCrossover, flipMutation, 806
30, 12080.00, 0.10, 0.60, 100, crossover, inversionMutation, 625
30, 12120.00, 0.10, 0.60, 100, singlePointCrossover, scrambleMutation, 537
30, 12020.00, 0.10, 0.60, 100, crossover, flipMutation, 770
30, 12135.00, 0.10, 0.80, 100, twoPointCrossover, swapMutation, 227
30, 12200.00, 0.10, 0.60, 100, crossover, scrambleMutation, 785
30, 12180.00, 0.10, 0.60, 100, singlePointCrossover, inversionMutation, 614
30, 12270.00, 0.10, 0.80, 100, singlePointCrossover, scrambleMutation, 395
30, 12080.00, 0.10, 0.80, 100, singlePointCrossover, swapMutation, 402
30, 11940.00, 0.10, 0.60, 100, twoPointCrossover, flipMutation, 661
30, 12360.00, 0.10, 0.60, 100, twoPointCrossover, scrambleMutation, 614
30, 12090.00, 0.10, 0.80, 100, crossover, flipMutation, 540
30, 11490.00, 0.10, 0.80, 100, singlePointCrossover, inversionMutation, 404
30, 12180.00, 0.10, 0.60, 100, twoPointCrossover, inversionMutation, 586
30, 12380.00, 0.10, 0.80, 100, crossover, scrambleMutation, 551
30, 12270.00, 0.10, 0.80, 100, crossover, inversionMutation, 580
30, 12250.00, 0.15, 0.20, 100, singlePointCrossover, swapMutation, 381
30, 12040.00, 0.15, 0.20, 100, crossover, swapMutation, 436
30, 12380.00, 0.10, 0.80, 100, twoPointCrossover, inversionMutation, 573
30, 12160.00, 0.15, 0.20, 100, twoPointCrossover, swapMutation, 375
30, 11970.00, 0.15, 0.20, 100, singlePointCrossover, flipMutation, 604
30, 12190.00, 0.15, 0.20, 100, twoPointCrossover, inversionMutation, 461
30, 12050.00, 0.15, 0.20, 100, crossover, flipMutation, 680
30, 11950.00, 0.10, 0.80, 100, singlePointCrossover, flipMutation, 891
30, 12180.00, 0.10, 0.80, 100, twoPointCrossover, scrambleMutation, 712
30, 12185.00, 0.15, 0.20, 100, twoPointCrossover, scrambleMutation, 480
30, 12100.00, 0.15, 0.20, 100, crossover, inversionMutation, 625
30, 11990.00, 0.15, 0.20, 100, crossover, scrambleMutation, 635
30, 12150.00, 0.10, 0.80, 100, twoPointCrossover, flipMutation, 792
30, 12330.00, 0.15, 0.40, 100, twoPointCrossover, swapMutation, 250
30, 12190.00, 0.15, 0.40, 100, singlePointCrossover, swapMutation, 434
30, 12280.00, 0.15, 0.20, 100, singlePointCrossover, inversionMutation, 600
30, 12120.00, 0.15, 0.20, 100, twoPointCrossover, flipMutation, 662
30, 12370.00, 0.15, 0.40, 100, crossover, swapMutation, 582
30, 12260.00, 0.15, 0.40, 100, singlePointCrossover, inversionMutation, 527
30, 12350.00, 0.15, 0.40, 100, singlePointCrossover, scrambleMutation, 572
30, 12115.00, 0.15, 0.40, 100, crossover, flipMutation, 681
30, 12070.00, 0.15, 0.60, 100, crossover, swapMutation, 227
30, 12070.00, 0.15, 0.40, 100, singlePointCrossover, flipMutation, 639
30, 12290.00, 0.15, 0.20, 100, singlePointCrossover, scrambleMutation, 804
30, 12280.00, 0.15, 0.40, 100, crossover, scrambleMutation, 665
30, 12280.00, 0.15, 0.40, 100, crossover, inversionMutation, 725
30, 12360.00, 0.15, 0.40, 100, twoPointCrossover, scrambleMutation, 453
30, 12265.00, 0.15, 0.60, 100, singlePointCrossover, swapMutation, 348
30, 12000.00, 0.15, 0.60, 100, twoPointCrossover, swapMutation, 356
30, 12230.00, 0.15, 0.40, 100, twoPointCrossover, flipMutation, 632
30, 12150.00, 0.15, 0.80, 100, singlePointCrossover, swapMutation, 250
30, 12035.00, 0.15, 0.40, 100, twoPointCrossover, inversionMutation, 635
30, 12180.00, 0.15, 0.60, 100, crossover, inversionMutation, 527
30, 12360.00, 0.15, 0.60, 100, singlePointCrossover, inversionMutation, 521
30, 12270.00, 0.15, 0.60, 100, twoPointCrossover, scrambleMutation, 488
30, 12180.00, 0.15, 0.60, 100, twoPointCrossover, inversionMutation, 481
30, 12360.00, 0.15, 0.60, 100, singlePointCrossover, scrambleMutation, 548
30, 12160.00, 0.15, 0.80, 100, crossover, swapMutation, 415
30, 12160.00, 0.15, 0.80, 100, twoPointCrossover, swapMutation, 259
30, 12225.00, 0.15, 0.60, 100, crossover, flipMutation, 652
30, 12190.00, 0.15, 0.80, 100, singlePointCrossover, scrambleMutation, 437
30, 12060.00, 0.15, 0.60, 100, singlePointCrossover, flipMutation, 657
30, 12040.00, 0.15, 0.60, 100, crossover, scrambleMutation, 704
30, 12240.00, 0.15, 0.60, 100, twoPointCrossover, flipMutation, 697
30, 12180.00, 0.15, 0.80, 100, crossover, scrambleMutation, 541
30, 12130.00, 0.20, 0.20, 100, singlePointCrossover, swapMutation, 220
30, 12290.00, 0.15, 0.80, 100, crossover, flipMutation, 634
30, 12020.00, 0.20, 0.20, 100, crossover, swapMutation, 367
30, 12250.00, 0.15, 0.80, 100, twoPointCrossover, inversionMutation, 512
30, 12330.00, 0.15, 0.80, 100, crossover, inversionMutation, 683
30, 12180.00, 0.20, 0.20, 100, singlePointCrossover, scrambleMutation, 426
30, 12180.00, 0.15, 0.80, 100, singlePointCrossover, inversionMutation, 746
30, 12360.00, 0.15, 0.80, 100, twoPointCrossover, scrambleMutation, 664
30, 12290.00, 0.20, 0.20, 100, crossover, flipMutation, 609
30, 12060.00, 0.20, 0.40, 100, singlePointCrossover, swapMutation, 262
30, 12050.00, 0.20, 0.20, 100, twoPointCrossover, swapMutation, 460
30, 12110.00, 0.15, 0.80, 100, twoPointCrossover, flipMutation, 793
30, 12010.00, 0.20, 0.20, 100, singlePointCrossover, inversionMutation, 511
30, 12240.00, 0.20, 0.20, 100, twoPointCrossover, scrambleMutation, 509
30, 12120.00, 0.20, 0.20, 100, crossover, scrambleMutation, 610
30, 12060.00, 0.15, 0.80, 100, singlePointCrossover, flipMutation, 875
30, 12185.00, 0.20, 0.20, 100, singlePointCrossover, flipMutation, 636
30, 12300.00, 0.20, 0.40, 100, crossover, swapMutation, 480
30, 12100.00, 0.20, 0.40, 100, crossover, flipMutation, 512
30, 12010.00, 0.20, 0.20, 100, crossover, inversionMutation, 698
30, 12250.00, 0.20, 0.40, 100, twoPointCrossover, swapMutation, 345
30, 12300.00, 0.20, 0.60, 100, crossover, swapMutation, 250
30, 12380.00, 0.20, 0.40, 100, singlePointCrossover, scrambleMutation, 489
30, 12220.00, 0.20, 0.20, 100, twoPointCrossover, flipMutation, 733
30, 12280.00, 0.20, 0.20, 100, twoPointCrossover, inversionMutation, 612
30, 12180.00, 0.20, 0.40, 100, twoPointCrossover, flipMutation, 509
30, 11940.00, 0.20, 0.60, 100, singlePointCrossover, swapMutation, 310
30, 12175.00, 0.20, 0.40, 100, singlePointCrossover, flipMutation, 722
30, 12180.00, 0.20, 0.40, 100, crossover, scrambleMutation, 753
30, 12225.00, 0.20, 0.40, 100, crossover, inversionMutation, 739
30, 12070.00, 0.20, 0.60, 100, twoPointCrossover, swapMutation, 380
30, 12135.00, 0.20, 0.80, 100, crossover, swapMutation, 326
30, 12380.00, 0.20, 0.40, 100, singlePointCrossover, inversionMutation, 827
30, 12180.00, 0.20, 0.40, 100, twoPointCrossover, scrambleMutation, 632
