Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms),Opti Find At
100, 12400.00, 0.20, 0.05, 700, twoPointCrossover, scrambleMutation, 51245, 79
100, 12350.00, 0.20, 0.05, 700, singlePointCrossover, inversionMutation, 54258, 0
100, 12400.00, 0.20, 0.05, 700, twoPointCrossover, inversionMutation, 55212, 44
100, 12400.00, 0.20, 0.05, 700, singlePointCrossover, scrambleMutation, 58888, 66
100, 12380.00, 0.20, 0.10, 700, twoPointCrossover, scrambleMutation, 62886, 0
100, 12390.00, 0.20, 0.20, 700, twoPointCrossover, scrambleMutation, 65317, 0
100, 12380.00, 0.20, 0.10, 700, twoPointCrossover, inversionMutation, 65802, 0
100, 12400.00, 0.20, 0.15, 700, twoPointCrossover, inversionMutation, 66095, 51
100, 12390.00, 0.20, 0.15, 700, twoPointCrossover, scrambleMutation, 66369, 0
100, 12400.00, 0.20, 0.10, 700, singlePointCrossover, scrambleMutation, 66534, 22
100, 12400.00, 0.20, 0.15, 700, singlePointCrossover, scrambleMutation, 67160, 77
100, 12380.00, 0.20, 0.10, 700, singlePointCrossover, inversionMutation, 68068, 0
100, 12380.00, 0.20, 0.20, 700, twoPointCrossover, inversionMutation, 68747, 0
100, 12400.00, 0.20, 0.20, 700, singlePointCrossover, scrambleMutation, 70368, 21
100, 12380.00, 0.20, 0.15, 700, singlePointCrossover, inversionMutation, 72089, 0
100, 12400.00, 0.20, 0.20, 700, singlePointCrossover, inversionMutation, 72747, 25
100, 12400.00, 0.30, 0.05, 700, twoPointCrossover, scrambleMutation, 99515, 55
100, 12400.00, 0.30, 0.05, 700, singlePointCrossover, inversionMutation, 99794, 53
100, 12400.00, 0.30, 0.15, 700, twoPointCrossover, scrambleMutation, 100314, 84
100, 12400.00, 0.30, 0.05, 700, twoPointCrossover, inversionMutation, 101395, 97
100, 12400.00, 0.30, 0.05, 700, singlePointCrossover, scrambleMutation, 102247, 20
100, 12380.00, 0.30, 0.10, 700, twoPointCrossover, inversionMutation, 105548, 0
100, 12400.00, 0.30, 0.10, 700, singlePointCrossover, inversionMutation, 107955, 38
100, 12400.00, 0.30, 0.10, 700, twoPointCrossover, scrambleMutation, 109669, 59
100, 12400.00, 0.30, 0.10, 700, singlePointCrossover, scrambleMutation, 110158, 66
100, 12400.00, 0.30, 0.20, 700, twoPointCrossover, inversionMutation, 110325, 15
100, 12400.00, 0.30, 0.20, 700, twoPointCrossover, scrambleMutation, 110646, 94
100, 12400.00, 0.30, 0.20, 700, singlePointCrossover, inversionMutation, 111306, 69
100, 12400.00, 0.30, 0.15, 700, twoPointCrossover, inversionMutation, 115134, 52
100, 12400.00, 0.30, 0.15, 700, singlePointCrossover, inversionMutation, 115737, 31
100, 12400.00, 0.30, 0.15, 700, singlePointCrossover, scrambleMutation, 116681, 29
100, 12400.00, 0.30, 0.20, 700, singlePointCrossover, scrambleMutation, 117595, 55
100, 12400.00, 0.40, 0.05, 700, twoPointCrossover, scrambleMutation, 135154, 19
100, 12400.00, 0.40, 0.05, 700, twoPointCrossover, inversionMutation, 138318, 48
100, 12400.00, 0.40, 0.05, 700, singlePointCrossover, inversionMutation, 142965, 12
100, 12390.00, 0.40, 0.05, 700, singlePointCrossover, scrambleMutation, 143649, 0
100, 12400.00, 0.40, 0.10, 700, twoPointCrossover, inversionMutation, 145602, 36
100, 12400.00, 0.40, 0.10, 700, twoPointCrossover, scrambleMutation, 152283, 18
100, 12400.00, 0.40, 0.10, 700, singlePointCrossover, inversionMutation, 156156, 59
100, 12400.00, 0.40, 0.10, 700, singlePointCrossover, scrambleMutation, 157276, 71
100, 12400.00, 0.40, 0.15, 700, twoPointCrossover, inversionMutation, 136164, 57
100, 12400.00, 0.40, 0.15, 700, twoPointCrossover, scrambleMutation, 140110, 83
100, 12400.00, 0.40, 0.15, 700, singlePointCrossover, inversionMutation, 142418, 53
100, 12400.00, 0.40, 0.15, 700, singlePointCrossover, scrambleMutation, 147844, 36
100, 12400.00, 0.40, 0.20, 700, twoPointCrossover, scrambleMutation, 133627, 92
100, 12400.00, 0.40, 0.20, 700, singlePointCrossover, scrambleMutation, 137504, 72
100, 12380.00, 0.40, 0.20, 700, twoPointCrossover, inversionMutation, 135985, 0
100, 12400.00, 0.40, 0.20, 700, singlePointCrossover, inversionMutation, 138580, 25
100, 12400.00, 0.50, 0.05, 700, singlePointCrossover, scrambleMutation, 152254, 10
100, 12400.00, 0.50, 0.05, 700, twoPointCrossover, scrambleMutation, 151613, 32
100, 12400.00, 0.50, 0.05, 700, twoPointCrossover, inversionMutation, 151305, 94
100, 12400.00, 0.50, 0.10, 700, singlePointCrossover, scrambleMutation, 154054, 32
100, 12390.00, 0.50, 0.05, 700, singlePointCrossover, inversionMutation, 156916, 0
100, 12400.00, 0.50, 0.10, 700, twoPointCrossover, scrambleMutation, 152271, 22
100, 12400.00, 0.50, 0.10, 700, twoPointCrossover, inversionMutation, 151906, 52
100, 12400.00, 0.50, 0.10, 700, singlePointCrossover, inversionMutation, 155583, 37
100, 12400.00, 0.50, 0.15, 700, twoPointCrossover, inversionMutation, 133853, 91
100, 12400.00, 0.50, 0.15, 700, singlePointCrossover, scrambleMutation, 136284, 46
100, 12400.00, 0.50, 0.15, 700, singlePointCrossover, inversionMutation, 137508, 48
100, 12400.00, 0.50, 0.20, 700, singlePointCrossover, scrambleMutation, 135149, 48
100, 12400.00, 0.50, 0.20, 700, twoPointCrossover, scrambleMutation, 130482, 28
100, 12400.00, 0.50, 0.20, 700, singlePointCrossover, inversionMutation, 132871, 45
100, 12400.00, 0.50, 0.20, 700, twoPointCrossover, inversionMutation, 129282, 47
100, 12390.00, 0.50, 0.15, 700, twoPointCrossover, scrambleMutation, 138847, 0
