Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
90, 12400.00, 0.25, 0.10, 300, singlePointCrossover, inversionMutation, 31719
90, 12400.00, 0.20, 0.20, 300, twoPointCrossover, scrambleMutation, 35458
90, 12390.00, 0.25, 0.10, 300, crossover, scrambleMutation, 33634
90, 12380.00, 0.25, 0.10, 300, crossover, inversionMutation, 33170
90, 12380.00, 0.20, 0.25, 300, singlePointCrossover, scrambleMutation, 35218
90, 12380.00, 0.20, 0.25, 300, singlePointCrossover, inversionMutation, 35103
90, 12390.00, 0.25, 0.10, 300, singlePointCrossover, scrambleMutation, 33925
90, 12380.00, 0.25, 0.10, 300, twoPointCrossover, scrambleMutation, 34565
90, 12400.00, 0.25, 0.10, 300, twoPointCrossover, inversionMutation, 35080
90, 12390.00, 0.25, 0.15, 300, crossover, scrambleMutation, 35003
90, 12380.00, 0.25, 0.15, 300, crossover, inversionMutation, 34885
90, 12380.00, 0.25, 0.15, 300, twoPointCrossover, inversionMutation, 24909
90, 12380.00, 0.25, 0.15, 300, singlePointCrossover, inversionMutation, 25477
90, 12380.00, 0.25, 0.15, 300, singlePointCrossover, scrambleMutation, 27367
90, 12380.00, 0.25, 0.15, 300, twoPointCrossover, scrambleMutation, 25913
90, 12390.00, 0.25, 0.20, 300, singlePointCrossover, scrambleMutation, 24922
90, 12380.00, 0.25, 0.20, 300, singlePointCrossover, inversionMutation, 25034
90, 12400.00, 0.25, 0.20, 300, twoPointCrossover, scrambleMutation, 24506
90, 12390.00, 0.25, 0.20, 300, crossover, scrambleMutation, 26514
90, 12390.00, 0.25, 0.20, 300, crossover, inversionMutation, 26299
90, 12380.00, 0.25, 0.25, 300, crossover, inversionMutation, 23385
90, 12380.00, 0.25, 0.25, 300, crossover, scrambleMutation, 23750
90, 12380.00, 0.25, 0.25, 300, singlePointCrossover, scrambleMutation, 22615
90, 12380.00, 0.25, 0.20, 300, twoPointCrossover, inversionMutation, 24789
90, 12380.00, 0.25, 0.25, 300, singlePointCrossover, inversionMutation, 22302
90, 12400.00, 0.25, 0.25, 300, twoPointCrossover, inversionMutation, 21865
90, 12380.00, 0.25, 0.25, 300, twoPointCrossover, scrambleMutation, 22041
