Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms),Opti Find At
100, 12240.00, 0.20, 0.05, 100, twoPointCrossover, scrambleMutation, 3130, 0
100, 12180.00, 0.20, 0.05, 100, twoPointCrossover, inversionMutation, 3351, 0
100, 12350.00, 0.20, 0.05, 100, singlePointCrossover, inversionMutation, 3470, 0
100, 12180.00, 0.20, 0.05, 100, singlePointCrossover, scrambleMutation, 3495, 0
100, 12380.00, 0.20, 0.10, 100, twoPointCrossover, scrambleMutation, 3625, 0
100, 12380.00, 0.20, 0.20, 100, twoPointCrossover, scrambleMutation, 3780, 0
100, 12270.00, 0.20, 0.15, 100, twoPointCrossover, inversionMutation, 3869, 0
100, 12240.00, 0.20, 0.10, 100, singlePointCrossover, inversionMutation, 3917, 0
100, 12380.00, 0.20, 0.10, 100, twoPointCrossover, inversionMutation, 3981, 0
100, 12180.00, 0.30, 0.05, 100, twoPointCrossover, scrambleMutation, 4170, 0
100, 12380.00, 0.30, 0.05, 100, twoPointCrossover, inversionMutation, 4295, 0
100, 12330.00, 0.20, 0.15, 100, twoPointCrossover, scrambleMutation, 4414, 0
100, 12380.00, 0.20, 0.20, 100, twoPointCrossover, inversionMutation, 4577, 0
100, 12240.00, 0.30, 0.05, 100, singlePointCrossover, scrambleMutation, 4688, 0
100, 12380.00, 0.20, 0.10, 100, singlePointCrossover, scrambleMutation, 4786, 0
100, 12190.00, 0.30, 0.05, 100, singlePointCrossover, inversionMutation, 4790, 0
100, 12220.00, 0.20, 0.15, 100, singlePointCrossover, scrambleMutation, 4854, 0
100, 12400.00, 0.20, 0.15, 100, singlePointCrossover, inversionMutation, 5497, 84
100, 12380.00, 0.30, 0.10, 100, twoPointCrossover, inversionMutation, 5855, 0
100, 12350.00, 0.40, 0.05, 100, twoPointCrossover, scrambleMutation, 5922, 0
100, 12370.00, 0.30, 0.10, 100, singlePointCrossover, inversionMutation, 6068, 0
100, 12230.00, 0.20, 0.20, 100, singlePointCrossover, inversionMutation, 6321, 0
100, 12320.00, 0.30, 0.10, 100, twoPointCrossover, scrambleMutation, 6357, 0
100, 12310.00, 0.40, 0.05, 100, singlePointCrossover, inversionMutation, 6765, 0
100, 12400.00, 0.20, 0.20, 100, singlePointCrossover, scrambleMutation, 6955, 82
100, 12360.00, 0.40, 0.05, 100, twoPointCrossover, inversionMutation, 6897, 0
100, 12370.00, 0.30, 0.10, 100, singlePointCrossover, scrambleMutation, 7164, 0
100, 12300.00, 0.40, 0.05, 100, singlePointCrossover, scrambleMutation, 7276, 0
100, 12380.00, 0.30, 0.15, 100, twoPointCrossover, scrambleMutation, 7474, 0
100, 12400.00, 0.30, 0.15, 100, twoPointCrossover, inversionMutation, 7683, 83
100, 12380.00, 0.40, 0.10, 100, twoPointCrossover, inversionMutation, 7705, 0
100, 12360.00, 0.30, 0.20, 100, twoPointCrossover, inversionMutation, 8020, 0
100, 12360.00, 0.30, 0.20, 100, singlePointCrossover, scrambleMutation, 8094, 0
100, 12380.00, 0.30, 0.20, 100, twoPointCrossover, scrambleMutation, 8271, 0
100, 12290.00, 0.40, 0.10, 100, twoPointCrossover, scrambleMutation, 8538, 0
100, 12330.00, 0.30, 0.15, 100, singlePointCrossover, inversionMutation, 9088, 0
100, 12360.00, 0.30, 0.15, 100, singlePointCrossover, scrambleMutation, 9116, 0
100, 12400.00, 0.40, 0.10, 100, singlePointCrossover, inversionMutation, 9150, 49
100, 12310.00, 0.30, 0.20, 100, singlePointCrossover, inversionMutation, 9566, 0
