Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms),Opti Find At
100, 12400.00, 0.20, 0.05, 400, twoPointCrossover, inversionMutation, 20876, 85
100, 12360.00, 0.20, 0.05, 400, twoPointCrossover, scrambleMutation, 22560, 0
100, 12400.00, 0.20, 0.05, 400, singlePointCrossover, inversionMutation, 23548, 46
100, 12370.00, 0.20, 0.05, 400, singlePointCrossover, scrambleMutation, 23741, 0
100, 12400.00, 0.20, 0.10, 400, singlePointCrossover, scrambleMutation, 23913, 91
100, 12380.00, 0.20, 0.10, 400, twoPointCrossover, inversionMutation, 25729, 0
100, 12320.00, 0.20, 0.10, 400, singlePointCrossover, inversionMutation, 27066, 0
100, 12400.00, 0.20, 0.15, 400, twoPointCrossover, scrambleMutation, 28169, 72
100, 12370.00, 0.20, 0.15, 400, singlePointCrossover, inversionMutation, 28439, 0
100, 12390.00, 0.20, 0.20, 400, twoPointCrossover, scrambleMutation, 29385, 0
100, 12400.00, 0.20, 0.15, 400, twoPointCrossover, inversionMutation, 29797, 92
100, 12380.00, 0.20, 0.10, 400, twoPointCrossover, scrambleMutation, 30109, 0
100, 12360.00, 0.20, 0.20, 400, singlePointCrossover, scrambleMutation, 30190, 0
100, 12400.00, 0.20, 0.20, 400, singlePointCrossover, inversionMutation, 31031, 5
100, 12380.00, 0.20, 0.20, 400, twoPointCrossover, inversionMutation, 31202, 0
100, 12400.00, 0.30, 0.05, 400, twoPointCrossover, inversionMutation, 33273, 56
100, 12400.00, 0.20, 0.15, 400, singlePointCrossover, scrambleMutation, 33466, 94
100, 12400.00, 0.30, 0.05, 400, twoPointCrossover, scrambleMutation, 37669, 48
100, 12330.00, 0.30, 0.05, 400, singlePointCrossover, inversionMutation, 38510, 0
100, 12350.00, 0.30, 0.05, 400, singlePointCrossover, scrambleMutation, 38741, 0
100, 12400.00, 0.30, 0.15, 400, singlePointCrossover, inversionMutation, 44869, 44
100, 12400.00, 0.30, 0.10, 400, singlePointCrossover, scrambleMutation, 44965, 25
100, 12400.00, 0.30, 0.10, 400, twoPointCrossover, inversionMutation, 45435, 73
100, 12400.00, 0.30, 0.10, 400, twoPointCrossover, scrambleMutation, 46564, 36
100, 12400.00, 0.30, 0.20, 400, twoPointCrossover, inversionMutation, 46704, 92
100, 12400.00, 0.30, 0.15, 400, twoPointCrossover, scrambleMutation, 48410, 14
100, 12390.00, 0.30, 0.15, 400, twoPointCrossover, inversionMutation, 49469, 0
100, 12380.00, 0.30, 0.20, 400, twoPointCrossover, scrambleMutation, 50211, 0
100, 12400.00, 0.30, 0.15, 400, singlePointCrossover, scrambleMutation, 50288, 16
100, 12390.00, 0.30, 0.20, 400, singlePointCrossover, scrambleMutation, 50997, 0
100, 12400.00, 0.30, 0.10, 400, singlePointCrossover, inversionMutation, 52226, 30
100, 12400.00, 0.30, 0.20, 400, singlePointCrossover, inversionMutation, 53205, 45
100, 12400.00, 0.40, 0.05, 400, twoPointCrossover, inversionMutation, 56197, 90
100, 12390.00, 0.40, 0.05, 400, twoPointCrossover, scrambleMutation, 56821, 0
100, 12400.00, 0.40, 0.05, 400, singlePointCrossover, inversionMutation, 56846, 66
100, 12400.00, 0.40, 0.05, 400, singlePointCrossover, scrambleMutation, 59420, 48
100, 12400.00, 0.40, 0.10, 400, twoPointCrossover, scrambleMutation, 61721, 69
100, 12400.00, 0.40, 0.10, 400, twoPointCrossover, inversionMutation, 62334, 46
100, 12390.00, 0.40, 0.10, 400, singlePointCrossover, inversionMutation, 66478, 0
100, 12390.00, 0.40, 0.10, 400, singlePointCrossover, scrambleMutation, 69545, 0
100, 12400.00, 0.40, 0.15, 400, singlePointCrossover, inversionMutation, 57952, 28
100, 12400.00, 0.40, 0.15, 400, singlePointCrossover, scrambleMutation, 59949, 20
100, 12380.00, 0.40, 0.15, 400, twoPointCrossover, scrambleMutation, 57347, 0
100, 12400.00, 0.40, 0.20, 400, twoPointCrossover, scrambleMutation, 54065, 29
100, 12400.00, 0.40, 0.15, 400, twoPointCrossover, inversionMutation, 59336, 83
100, 12400.00, 0.40, 0.20, 400, singlePointCrossover, inversionMutation, 58633, 53
100, 12370.00, 0.40, 0.20, 400, singlePointCrossover, scrambleMutation, 60640, 0
100, 12390.00, 0.40, 0.20, 400, twoPointCrossover, inversionMutation, 57858, 0
100, 12400.00, 0.50, 0.05, 400, singlePointCrossover, scrambleMutation, 58527, 38
100, 12400.00, 0.50, 0.05, 400, twoPointCrossover, scrambleMutation, 60411, 19
100, 12400.00, 0.50, 0.05, 400, twoPointCrossover, inversionMutation, 60694, 4
100, 12400.00, 0.50, 0.05, 400, singlePointCrossover, inversionMutation, 62964, 54
100, 12400.00, 0.50, 0.10, 400, singlePointCrossover, scrambleMutation, 64529, 40
100, 12400.00, 0.50, 0.10, 400, twoPointCrossover, scrambleMutation, 64724, 43
100, 12400.00, 0.50, 0.15, 400, singlePointCrossover, scrambleMutation, 62491, 62
100, 12400.00, 0.50, 0.10, 400, twoPointCrossover, inversionMutation, 62708, 95
100, 12400.00, 0.50, 0.10, 400, singlePointCrossover, inversionMutation, 65235, 57
100, 12400.00, 0.50, 0.15, 400, singlePointCrossover, inversionMutation, 60210, 55
100, 12400.00, 0.50, 0.15, 400, twoPointCrossover, scrambleMutation, 59530, 31
100, 12400.00, 0.50, 0.15, 400, twoPointCrossover, inversionMutation, 60708, 55
100, 12400.00, 0.50, 0.20, 400, twoPointCrossover, inversionMutation, 53054, 78
100, 12400.00, 0.50, 0.20, 400, singlePointCrossover, scrambleMutation, 54753, 56
100, 12400.00, 0.50, 0.20, 400, singlePointCrossover, inversionMutation, 55201, 66
100, 12400.00, 0.50, 0.20, 400, twoPointCrossover, scrambleMutation, 56458, 57
100, 12300.00, 0.20, 0.10, 400, twoPointCrossover, swapMutation, 5160, 0
100, 12230.00, 0.20, 0.20, 400, twoPointCrossover, swapMutation, 5263, 0
100, 12180.00, 0.40, 0.15, 400, twoPointCrossover, swapMutation, 5254, 0
100, 12230.00, 0.40, 0.10, 400, singlePointCrossover, swapMutation, 5303, 0
100, 12240.00, 0.50, 0.15, 400, singlePointCrossover, swapMutation, 5197, 0
100, 12200.00, 0.50, 0.15, 400, twoPointCrossover, swapMutation, 5248, 0
100, 12400.00, 0.50, 0.05, 400, twoPointCrossover, swapMutation, 5308, 99
100, 12320.00, 0.30, 0.20, 400, singlePointCrossover, swapMutation, 5473, 0
100, 12250.00, 0.50, 0.20, 400, singlePointCrossover, swapMutation, 5302, 0
100, 12220.00, 0.20, 0.15, 400, twoPointCrossover, swapMutation, 5535, 0
100, 12280.00, 0.20, 0.15, 400, singlePointCrossover, swapMutation, 5551, 0
100, 12225.00, 0.30, 0.05, 400, twoPointCrossover, swapMutation, 5557, 0
100, 12180.00, 0.30, 0.15, 400, twoPointCrossover, swapMutation, 5584, 0
100, 12180.00, 0.40, 0.05, 400, twoPointCrossover, swapMutation, 5582, 0
100, 12265.00, 0.20, 0.05, 400, twoPointCrossover, swapMutation, 5609, 0
100, 12310.00, 0.40, 0.20, 400, twoPointCrossover, swapMutation, 5531, 0
100, 12370.00, 0.50, 0.10, 400, twoPointCrossover, swapMutation, 5501, 0
100, 12190.00, 0.50, 0.05, 400, singlePointCrossover, swapMutation, 5555, 0
100, 12060.00, 0.40, 0.05, 400, singlePointCrossover, swapMutation, 5650, 0
100, 12390.00, 0.30, 0.05, 400, singlePointCrossover, swapMutation, 5669, 0
100, 12270.00, 0.40, 0.15, 400, singlePointCrossover, swapMutation, 5660, 0
100, 12230.00, 0.30, 0.10, 400, twoPointCrossover, swapMutation, 5684, 0
100, 12390.00, 0.30, 0.10, 400, singlePointCrossover, swapMutation, 5699, 0
100, 12240.00, 0.20, 0.05, 400, singlePointCrossover, swapMutation, 5709, 0
100, 12330.00, 0.20, 0.20, 400, singlePointCrossover, swapMutation, 5727, 0
100, 12400.00, 0.20, 0.10, 400, singlePointCrossover, swapMutation, 5733, 27
100, 12270.00, 0.50, 0.20, 400, twoPointCrossover, swapMutation, 5537, 0
100, 12290.00, 0.40, 0.20, 400, singlePointCrossover, swapMutation, 5692, 0
100, 12400.00, 0.40, 0.10, 400, twoPointCrossover, swapMutation, 5760, 47
100, 12220.00, 0.30, 0.20, 400, twoPointCrossover, swapMutation, 5783, 0
100, 12250.00, 0.30, 0.15, 400, singlePointCrossover, swapMutation, 5786, 0
100, 12230.00, 0.50, 0.10, 400, singlePointCrossover, swapMutation, 5704, 0

