Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
30, 12180.00, 0.10, 0.10, 100, singlePointCrossover, scrambleMutation, 920
30, 12180.00, 0.15, 0.10, 100, singlePointCrossover, inversionMutation, 916
30, 12180.00, 0.15, 0.15, 100, singlePointCrossover, inversionMutation, 900
30, 12250.00, 0.10, 0.10, 100, twoPointCrossover, inversionMutation, 1047
30, 12180.00, 0.10, 0.25, 100, singlePointCrossover, inversionMutation, 1007
30, 12180.00, 0.10, 0.20, 100, crossover, inversionMutation, 1069
30, 12320.00, 0.15, 0.10, 100, crossover, inversionMutation, 998
30, 12360.00, 0.10, 0.20, 100, crossover, scrambleMutation, 1084
30, 12360.00, 0.10, 0.25, 100, crossover, inversionMutation, 1092
30, 12270.00, 0.10, 0.15, 100, twoPointCrossover, inversionMutation, 1093
30, 12120.00, 0.10, 0.15, 100, singlePointCrossover, scrambleMutation, 1090
30, 12180.00, 0.10, 0.15, 100, twoPointCrossover, scrambleMutation, 1105
30, 12280.00, 0.10, 0.15, 100, crossover, scrambleMutation, 1128
30, 12120.00, 0.10, 0.10, 100, twoPointCrossover, scrambleMutation, 1169
30, 12360.00, 0.10, 0.25, 100, singlePointCrossover, scrambleMutation, 1171
30, 12220.00, 0.10, 0.10, 100, crossover, scrambleMutation, 1180
30, 12210.00, 0.15, 0.10, 100, singlePointCrossover, scrambleMutation, 1128
30, 12190.00, 0.10, 0.20, 100, singlePointCrossover, inversionMutation, 1190
30, 12190.00, 0.15, 0.10, 100, twoPointCrossover, scrambleMutation, 1099
30, 12180.00, 0.15, 0.15, 100, twoPointCrossover, inversionMutation, 1061
30, 12120.00, 0.10, 0.20, 100, twoPointCrossover, inversionMutation, 1216
30, 12360.00, 0.10, 0.10, 100, crossover, inversionMutation, 1189
30, 12360.00, 0.15, 0.15, 100, singlePointCrossover, scrambleMutation, 1053
30, 12180.00, 0.15, 0.10, 100, twoPointCrossover, inversionMutation, 1074
30, 12200.00, 0.15, 0.15, 100, crossover, inversionMutation, 1094
30, 12180.00, 0.10, 0.25, 100, twoPointCrossover, inversionMutation, 1185
30, 12180.00, 0.15, 0.20, 100, crossover, inversionMutation, 1082
30, 12180.00, 0.15, 0.10, 100, crossover, scrambleMutation, 1198
30, 12180.00, 0.10, 0.25, 100, twoPointCrossover, scrambleMutation, 1212
30, 12270.00, 0.10, 0.10, 100, singlePointCrossover, inversionMutation, 1260
30, 12180.00, 0.10, 0.15, 100, crossover, inversionMutation, 1255
30, 12200.00, 0.10, 0.15, 100, singlePointCrossover, inversionMutation, 1255
30, 12360.00, 0.10, 0.25, 100, crossover, scrambleMutation, 1252
30, 12180.00, 0.10, 0.20, 100, singlePointCrossover, scrambleMutation, 1276
30, 12180.00, 0.15, 0.15, 100, twoPointCrossover, scrambleMutation, 1137
30, 12180.00, 0.15, 0.20, 100, singlePointCrossover, inversionMutation, 1124
30, 12190.00, 0.15, 0.20, 100, singlePointCrossover, scrambleMutation, 1125
30, 12360.00, 0.10, 0.20, 100, twoPointCrossover, scrambleMutation, 1324
30, 11980.00, 0.15, 0.20, 100, twoPointCrossover, scrambleMutation, 443
30, 12380.00, 0.15, 0.15, 100, crossover, scrambleMutation, 1264
30, 12330.00, 0.15, 0.20, 100, crossover, scrambleMutation, 1284
30, 12185.00, 0.20, 0.10, 100, twoPointCrossover, inversionMutation, 277
30, 12250.00, 0.15, 0.25, 100, singlePointCrossover, scrambleMutation, 396
30, 12180.00, 0.15, 0.25, 100, singlePointCrossover, inversionMutation, 415
30, 12380.00, 0.15, 0.25, 100, crossover, scrambleMutation, 450
30, 12180.00, 0.15, 0.20, 100, twoPointCrossover, inversionMutation, 557
30, 12120.00, 0.20, 0.10, 100, singlePointCrossover, scrambleMutation, 466
30, 12140.00, 0.20, 0.10, 100, crossover, inversionMutation, 495
30, 12180.00, 0.15, 0.25, 100, crossover, inversionMutation, 611
30, 12200.00, 0.15, 0.25, 100, twoPointCrossover, inversionMutation, 576
30, 12310.00, 0.20, 0.10, 100, singlePointCrossover, inversionMutation, 576
30, 12180.00, 0.20, 0.15, 100, singlePointCrossover, inversionMutation, 480
30, 12120.00, 0.25, 0.10, 100, crossover, scrambleMutation, 448
30, 12160.00, 0.20, 0.10, 100, twoPointCrossover, scrambleMutation, 588
30, 12180.00, 0.25, 0.10, 100, singlePointCrossover, inversionMutation, 426
30, 12180.00, 0.20, 0.20, 100, singlePointCrossover, scrambleMutation, 498
30, 12190.00, 0.20, 0.20, 100, twoPointCrossover, inversionMutation, 489
30, 12190.00, 0.20, 0.15, 100, twoPointCrossover, scrambleMutation, 546
30, 12180.00, 0.20, 0.15, 100, crossover, inversionMutation, 548
30, 12160.00, 0.25, 0.10, 100, twoPointCrossover, scrambleMutation, 472
30, 12155.00, 0.20, 0.10, 100, crossover, scrambleMutation, 673
30, 12180.00, 0.20, 0.25, 100, crossover, inversionMutation, 521
30, 12240.00, 0.25, 0.10, 100, twoPointCrossover, inversionMutation, 467
30, 12360.00, 0.20, 0.20, 100, twoPointCrossover, scrambleMutation, 559
30, 12200.00, 0.20, 0.15, 100, crossover, scrambleMutation, 607
30, 12190.00, 0.20, 0.15, 100, singlePointCrossover, scrambleMutation, 632
30, 12180.00, 0.25, 0.15, 100, crossover, scrambleMutation, 480
30, 12180.00, 0.25, 0.10, 100, crossover, inversionMutation, 592
30, 12120.00, 0.20, 0.15, 100, twoPointCrossover, inversionMutation, 657
30, 12240.00, 0.20, 0.20, 100, singlePointCrossover, inversionMutation, 640
30, 12180.00, 0.15, 0.25, 100, twoPointCrossover, scrambleMutation, 812
30, 12180.00, 0.20, 0.25, 100, crossover, scrambleMutation, 631
30, 12180.00, 0.25, 0.10, 100, singlePointCrossover, scrambleMutation, 618
30, 12360.00, 0.20, 0.25, 100, singlePointCrossover, scrambleMutation, 672
30, 12250.00, 0.20, 0.20, 100, crossover, inversionMutation, 709
30, 12250.00, 0.25, 0.15, 100, singlePointCrossover, scrambleMutation, 502
30, 12185.00, 0.20, 0.25, 100, twoPointCrossover, scrambleMutation, 701
30, 12320.00, 0.25, 0.15, 100, singlePointCrossover, inversionMutation, 528
30, 12250.00, 0.20, 0.25, 100, twoPointCrossover, inversionMutation, 714
30, 12380.00, 0.20, 0.20, 100, crossover, scrambleMutation, 761
30, 12300.00, 0.20, 0.25, 100, singlePointCrossover, inversionMutation, 737
30, 12180.00, 0.25, 0.20, 100, crossover, inversionMutation, 453
30, 12360.00, 0.25, 0.20, 100, crossover, scrambleMutation, 526
30, 12180.00, 0.25, 0.15, 100, crossover, inversionMutation, 649
30, 12230.00, 0.25, 0.20, 100, singlePointCrossover, inversionMutation, 435
30, 12380.00, 0.25, 0.15, 100, twoPointCrossover, scrambleMutation, 578
30, 12360.00, 0.25, 0.20, 100, twoPointCrossover, inversionMutation, 378
30, 12250.00, 0.25, 0.25, 100, singlePointCrossover, scrambleMutation, 334
30, 12290.00, 0.25, 0.15, 100, twoPointCrossover, inversionMutation, 570
30, 12185.00, 0.25, 0.20, 100, singlePointCrossover, scrambleMutation, 487
30, 12270.00, 0.25, 0.25, 100, crossover, scrambleMutation, 380
30, 12260.00, 0.25, 0.25, 100, twoPointCrossover, inversionMutation, 335
30, 12180.00, 0.25, 0.25, 100, singlePointCrossover, inversionMutation, 358
30, 12300.00, 0.25, 0.25, 100, crossover, inversionMutation, 389
30, 12360.00, 0.25, 0.25, 100, twoPointCrossover, scrambleMutation, 369
30, 12360.00, 0.25, 0.20, 100, twoPointCrossover, scrambleMutation, 443
