Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
150, 12400.00, 0.10, 0.10, 500, twoPointCrossover, inversionMutation, 41065
150, 12400.00, 0.10, 0.10, 500, crossover, inversionMutation, 43348
150, 12400.00, 0.10, 0.10, 500, twoPointCrossover, scrambleMutation, 43556
150, 12400.00, 0.10, 0.10, 500, singlePointCrossover, scrambleMutation, 44337
150, 12400.00, 0.10, 0.10, 500, singlePointCrossover, inversionMutation, 44527
150, 12380.00, 0.10, 0.10, 500, crossover, scrambleMutation, 44979
150, 12400.00, 0.10, 0.15, 500, twoPointCrossover, inversionMutation, 45535
150, 12400.00, 0.10, 0.15, 500, crossover, scrambleMutation, 46636
150, 12400.00, 0.10, 0.20, 500, singlePointCrossover, inversionMutation, 47406
150, 12380.00, 0.10, 0.15, 500, singlePointCrossover, inversionMutation, 47661
150, 12390.00, 0.10, 0.20, 500, crossover, inversionMutation, 47967
150, 12400.00, 0.10, 0.25, 500, singlePointCrossover, scrambleMutation, 48274
150, 12390.00, 0.10, 0.20, 500, twoPointCrossover, inversionMutation, 48361
150, 12380.00, 0.10, 0.15, 500, twoPointCrossover, scrambleMutation, 48860
150, 12400.00, 0.10, 0.20, 500, singlePointCrossover, scrambleMutation, 49692
150, 12400.00, 0.10, 0.15, 500, singlePointCrossover, scrambleMutation, 50074
150, 12400.00, 0.10, 0.25, 500, twoPointCrossover, inversionMutation, 50300
150, 12380.00, 0.10, 0.20, 500, crossover, scrambleMutation, 52519
150, 12400.00, 0.10, 0.25, 500, crossover, inversionMutation, 52631
150, 12400.00, 0.10, 0.15, 500, crossover, inversionMutation, 52639
150, 12380.00, 0.10, 0.25, 500, crossover, scrambleMutation, 53651
150, 12390.00, 0.10, 0.20, 500, twoPointCrossover, scrambleMutation, 54147
150, 12400.00, 0.10, 0.25, 500, twoPointCrossover, scrambleMutation, 55165
150, 12400.00, 0.10, 0.25, 500, singlePointCrossover, inversionMutation, 55509
150, 12400.00, 0.15, 0.10, 500, crossover, scrambleMutation, 68358
150, 12400.00, 0.15, 0.10, 500, singlePointCrossover, inversionMutation, 70743
150, 12390.00, 0.15, 0.15, 500, singlePointCrossover, inversionMutation, 72149
150, 12400.00, 0.15, 0.10, 500, crossover, inversionMutation, 72432
150, 12400.00, 0.15, 0.10, 500, twoPointCrossover, inversionMutation, 72738
150, 12400.00, 0.15, 0.10, 500, singlePointCrossover, scrambleMutation, 73299
150, 12400.00, 0.15, 0.15, 500, twoPointCrossover, inversionMutation, 73528
150, 12400.00, 0.15, 0.10, 500, twoPointCrossover, scrambleMutation, 73834
150, 12390.00, 0.15, 0.15, 500, crossover, inversionMutation, 76035
150, 12400.00, 0.15, 0.15, 500, twoPointCrossover, scrambleMutation, 77164
150, 12400.00, 0.15, 0.20, 500, singlePointCrossover, inversionMutation, 77205
150, 12400.00, 0.15, 0.15, 500, crossover, scrambleMutation, 77991
150, 12400.00, 0.15, 0.15, 500, singlePointCrossover, scrambleMutation, 78847
150, 12380.00, 0.15, 0.20, 500, crossover, inversionMutation, 79842
150, 12400.00, 0.15, 0.20, 500, singlePointCrossover, scrambleMutation, 82411
150, 12400.00, 0.15, 0.20, 500, crossover, scrambleMutation, 84094
150, 12390.00, 0.15, 0.20, 500, twoPointCrossover, scrambleMutation, 79393
150, 12400.00, 0.15, 0.20, 500, twoPointCrossover, inversionMutation, 80125
150, 12390.00, 0.15, 0.25, 500, singlePointCrossover, scrambleMutation, 79956
150, 12380.00, 0.15, 0.25, 500, singlePointCrossover, inversionMutation, 79744
150, 12400.00, 0.15, 0.25, 500, twoPointCrossover, scrambleMutation, 81010
150, 12400.00, 0.15, 0.25, 500, twoPointCrossover, inversionMutation, 81035
150, 12400.00, 0.15, 0.25, 500, crossover, scrambleMutation, 85556
150, 12390.00, 0.15, 0.25, 500, crossover, inversionMutation, 86376
150, 12380.00, 0.20, 0.10, 500, twoPointCrossover, scrambleMutation, 99283
150, 12400.00, 0.20, 0.10, 500, singlePointCrossover, scrambleMutation, 101143
150, 12390.00, 0.20, 0.10, 500, singlePointCrossover, inversionMutation, 103440
150, 12400.00, 0.20, 0.10, 500, twoPointCrossover, inversionMutation, 106826
150, 12400.00, 0.20, 0.10, 500, crossover, inversionMutation, 110284
150, 12400.00, 0.20, 0.10, 500, crossover, scrambleMutation, 110687
150, 12400.00, 0.20, 0.15, 500, twoPointCrossover, inversionMutation, 107042
150, 12400.00, 0.20, 0.15, 500, singlePointCrossover, scrambleMutation, 111205
150, 12400.00, 0.20, 0.15, 500, crossover, scrambleMutation, 112096
150, 12400.00, 0.20, 0.20, 500, singlePointCrossover, scrambleMutation, 108680
150, 12400.00, 0.20, 0.15, 500, singlePointCrossover, inversionMutation, 111471
150, 12400.00, 0.20, 0.15, 500, twoPointCrossover, scrambleMutation, 111362
150, 12400.00, 0.20, 0.15, 500, crossover, inversionMutation, 117567
150, 12390.00, 0.20, 0.20, 500, crossover, scrambleMutation, 114180
150, 12400.00, 0.20, 0.20, 500, singlePointCrossover, inversionMutation, 114684
150, 12400.00, 0.20, 0.20, 500, crossover, inversionMutation, 118793
150, 12390.00, 0.20, 0.20, 500, twoPointCrossover, scrambleMutation, 113222
150, 12400.00, 0.20, 0.25, 500, twoPointCrossover, scrambleMutation, 111996
150, 12390.00, 0.20, 0.25, 500, crossover, inversionMutation, 113324
150, 12400.00, 0.20, 0.25, 500, singlePointCrossover, inversionMutation, 112658
150, 12400.00, 0.20, 0.25, 500, crossover, scrambleMutation, 115167
150, 12390.00, 0.20, 0.20, 500, twoPointCrossover, inversionMutation, 116817
150, 12390.00, 0.20, 0.25, 500, singlePointCrossover, scrambleMutation, 116242
150, 12400.00, 0.20, 0.25, 500, twoPointCrossover, inversionMutation, 117823
150, 12400.00, 0.25, 0.10, 500, crossover, inversionMutation, 127099
150, 12400.00, 0.25, 0.10, 500, crossover, scrambleMutation, 129702
150, 12400.00, 0.25, 0.10, 500, singlePointCrossover, scrambleMutation, 129068
150, 12400.00, 0.25, 0.10, 500, twoPointCrossover, scrambleMutation, 128951
150, 12400.00, 0.25, 0.10, 500, singlePointCrossover, inversionMutation, 130799
150, 12400.00, 0.25, 0.10, 500, twoPointCrossover, inversionMutation, 130903
150, 12400.00, 0.25, 0.15, 500, crossover, inversionMutation, 129775
150, 12400.00, 0.25, 0.15, 500, crossover, scrambleMutation, 131628
150, 12400.00, 0.25, 0.15, 500, singlePointCrossover, scrambleMutation, 108298
150, 12400.00, 0.25, 0.15, 500, twoPointCrossover, inversionMutation, 106867
150, 12400.00, 0.25, 0.20, 500, crossover, scrambleMutation, 105887
150, 12400.00, 0.25, 0.15, 500, twoPointCrossover, scrambleMutation, 109020
150, 12400.00, 0.25, 0.15, 500, singlePointCrossover, inversionMutation, 112874
150, 12400.00, 0.25, 0.20, 500, crossover, inversionMutation, 110047
150, 12400.00, 0.25, 0.20, 500, twoPointCrossover, scrambleMutation, 94719
150, 12400.00, 0.25, 0.20, 500, twoPointCrossover, inversionMutation, 93344
150, 12400.00, 0.25, 0.20, 500, singlePointCrossover, scrambleMutation, 113452
150, 12390.00, 0.25, 0.25, 500, singlePointCrossover, scrambleMutation, 86355
150, 12400.00, 0.25, 0.25, 500, crossover, inversionMutation, 89389
150, 12400.00, 0.25, 0.20, 500, singlePointCrossover, inversionMutation, 114779
150, 12400.00, 0.25, 0.25, 500, twoPointCrossover, inversionMutation, 85066
150, 12400.00, 0.25, 0.25, 500, twoPointCrossover, scrambleMutation, 87477
150, 12400.00, 0.25, 0.25, 500, crossover, scrambleMutation, 97897
150, 12400.00, 0.25, 0.25, 500, singlePointCrossover, inversionMutation, 92409
