Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
150, 12330.00, 0.05, 0.20, 500, twoPointCrossover, swapMutation, 9118
150, 12360.00, 0.05, 0.20, 500, crossover, swapMutation, 9205
150, 12400.00, 0.05, 0.40, 500, twoPointCrossover, swapMutation, 9165
150, 12380.00, 0.05, 0.40, 500, crossover, swapMutation, 9667
150, 12380.00, 0.05, 0.20, 500, singlePointCrossover, swapMutation, 10423
150, 12330.00, 0.05, 0.40, 500, singlePointCrossover, swapMutation, 10596
150, 12400.00, 0.05, 0.60, 500, crossover, swapMutation, 8752
150, 12400.00, 0.05, 0.60, 500, singlePointCrossover, swapMutation, 8798
150, 12360.00, 0.05, 0.20, 500, singlePointCrossover, inversionMutation, 21454
150, 12400.00, 0.05, 0.20, 500, singlePointCrossover, scrambleMutation, 21969
150, 12360.00, 0.05, 0.20, 500, twoPointCrossover, scrambleMutation, 22042
150, 12380.00, 0.05, 0.20, 500, crossover, inversionMutation, 22115
150, 12400.00, 0.05, 0.20, 500, crossover, scrambleMutation, 23164
150, 12400.00, 0.05, 0.20, 500, twoPointCrossover, inversionMutation, 23457
150, 12360.00, 0.05, 0.20, 500, twoPointCrossover, flipMutation, 23515
150, 12360.00, 0.05, 0.20, 500, singlePointCrossover, flipMutation, 24800
150, 12320.00, 0.05, 0.20, 500, crossover, flipMutation, 25059
150, 12400.00, 0.05, 0.40, 500, twoPointCrossover, scrambleMutation, 25073
150, 12390.00, 0.05, 0.40, 500, crossover, scrambleMutation, 25345
150, 12390.00, 0.05, 0.40, 500, crossover, inversionMutation, 25447
150, 12390.00, 0.05, 0.40, 500, singlePointCrossover, inversionMutation, 25697
150, 12390.00, 0.05, 0.40, 500, twoPointCrossover, flipMutation, 26305
150, 12400.00, 0.05, 0.40, 500, twoPointCrossover, inversionMutation, 26781
150, 12380.00, 0.05, 0.40, 500, singlePointCrossover, scrambleMutation, 26955
150, 12400.00, 0.05, 0.40, 500, singlePointCrossover, flipMutation, 27476
150, 12370.00, 0.05, 0.40, 500, crossover, flipMutation, 27844
150, 12380.00, 0.05, 0.60, 500, twoPointCrossover, swapMutation, 8925
150, 12400.00, 0.05, 0.80, 500, crossover, swapMutation, 8976
150, 12225.00, 0.05, 0.80, 500, singlePointCrossover, swapMutation, 8691
150, 12400.00, 0.05, 0.60, 500, crossover, inversionMutation, 25102
150, 12350.00, 0.05, 0.80, 500, twoPointCrossover, swapMutation, 8837
150, 12280.00, 0.10, 0.20, 500, crossover, swapMutation, 7803
150, 12380.00, 0.05, 0.60, 500, crossover, scrambleMutation, 27046
150, 12400.00, 0.05, 0.60, 500, singlePointCrossover, flipMutation, 26250
150, 12370.00, 0.05, 0.60, 500, crossover, flipMutation, 27667
150, 12400.00, 0.05, 0.60, 500, singlePointCrossover, scrambleMutation, 24995
150, 12270.00, 0.10, 0.20, 500, singlePointCrossover, swapMutation, 8844
150, 12400.00, 0.05, 0.60, 500, singlePointCrossover, inversionMutation, 24384
150, 12310.00, 0.10, 0.20, 500, twoPointCrossover, swapMutation, 7618
150, 12330.00, 0.05, 0.60, 500, twoPointCrossover, flipMutation, 26117
150, 12380.00, 0.05, 0.60, 500, twoPointCrossover, scrambleMutation, 25594
150, 12400.00, 0.05, 0.60, 500, twoPointCrossover, inversionMutation, 26392
150, 12400.00, 0.05, 0.80, 500, crossover, scrambleMutation, 27020
150, 12400.00, 0.05, 0.80, 500, crossover, flipMutation, 27666
150, 12400.00, 0.05, 0.80, 500, singlePointCrossover, scrambleMutation, 25525
150, 12380.00, 0.05, 0.80, 500, crossover, inversionMutation, 27004
150, 12390.00, 0.05, 0.80, 500, singlePointCrossover, inversionMutation, 26751
150, 12400.00, 0.05, 0.80, 500, twoPointCrossover, inversionMutation, 25324
150, 12400.00, 0.05, 0.80, 500, twoPointCrossover, scrambleMutation, 25630
150, 12380.00, 0.05, 0.80, 500, singlePointCrossover, flipMutation, 27573
150, 12320.00, 0.10, 0.40, 500, crossover, swapMutation, 8922
150, 12290.00, 0.05, 0.80, 500, twoPointCrossover, flipMutation, 27428
150, 12330.00, 0.10, 0.40, 500, singlePointCrossover, swapMutation, 7478
150, 12400.00, 0.10, 0.40, 500, twoPointCrossover, swapMutation, 8293
150, 12300.00, 0.10, 0.60, 500, crossover, swapMutation, 8550
150, 12280.00, 0.10, 0.60, 500, singlePointCrossover, swapMutation, 8932
150, 12400.00, 0.10, 0.20, 500, crossover, scrambleMutation, 43647
150, 12400.00, 0.10, 0.20, 500, crossover, flipMutation, 47294
150, 12400.00, 0.10, 0.20, 500, crossover, inversionMutation, 43061
150, 12380.00, 0.10, 0.20, 500, singlePointCrossover, inversionMutation, 42871
150, 12400.00, 0.10, 0.20, 500, singlePointCrossover, scrambleMutation, 44942
150, 12400.00, 0.10, 0.20, 500, singlePointCrossover, flipMutation, 46977
150, 12400.00, 0.10, 0.20, 500, twoPointCrossover, scrambleMutation, 43943
150, 12360.00, 0.10, 0.20, 500, twoPointCrossover, flipMutation, 46282
150, 12360.00, 0.10, 0.60, 500, twoPointCrossover, swapMutation, 8945
150, 12380.00, 0.10, 0.20, 500, twoPointCrossover, inversionMutation, 42293
150, 12320.00, 0.10, 0.80, 500, crossover, swapMutation, 8688
150, 12400.00, 0.10, 0.40, 500, crossover, scrambleMutation, 49590
150, 12360.00, 0.10, 0.40, 500, crossover, flipMutation, 50561
150, 12350.00, 0.10, 0.80, 500, singlePointCrossover, swapMutation, 9685
150, 12370.00, 0.10, 0.40, 500, crossover, inversionMutation, 48600
150, 12400.00, 0.10, 0.40, 500, singlePointCrossover, flipMutation, 51092
150, 12400.00, 0.10, 0.40, 500, twoPointCrossover, scrambleMutation, 47821
150, 12400.00, 0.10, 0.40, 500, twoPointCrossover, inversionMutation, 48400
150, 12400.00, 0.10, 0.40, 500, singlePointCrossover, inversionMutation, 50136
150, 12380.00, 0.10, 0.40, 500, singlePointCrossover, scrambleMutation, 50707
150, 12400.00, 0.10, 0.60, 500, crossover, flipMutation, 50651
150, 12400.00, 0.10, 0.40, 500, twoPointCrossover, flipMutation, 52406
150, 12380.00, 0.10, 0.60, 500, crossover, scrambleMutation, 51420
150, 12400.00, 0.10, 0.80, 500, twoPointCrossover, swapMutation, 10593
150, 12380.00, 0.10, 0.60, 500, crossover, inversionMutation, 54576
150, 12400.00, 0.10, 0.60, 500, singlePointCrossover, flipMutation, 52064
150, 12370.00, 0.15, 0.20, 500, crossover, swapMutation, 9960
150, 12330.00, 0.15, 0.20, 500, singlePointCrossover, swapMutation, 9266
150, 12400.00, 0.10, 0.60, 500, singlePointCrossover, scrambleMutation, 52474
150, 12400.00, 0.15, 0.20, 500, twoPointCrossover, swapMutation, 9112
