Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms),Opti Find At
100, 12370.00, 0.10, 0.50, 700, singlePointCrossover, flipMutation, 31930, 0
100, 12400.00, 0.20, 0.40, 700, uniformCrossover, swapMutation, 6576, 9
100, 12250.00, 0.20, 0.40, 700, singlePointCrossover, swapMutation, 5487, 0
100, 12400.00, 0.10, 0.50, 700, twoPointCrossover, flipMutation, 28211, 34
100, 12400.00, 0.20, 0.40, 700, twoPointCrossover, swapMutation, 5142, 33
100, 12400.00, 0.10, 0.50, 700, twoPointCrossover, scrambleMutation, 30361, 57
100, 12400.00, 0.10, 0.50, 700, twoPointCrossover, inversionMutation, 30202, 87
100, 12400.00, 0.10, 0.50, 700, singlePointCrossover, inversionMutation, 33303, 51
100, 12380.00, 0.10, 0.50, 700, singlePointCrossover, scrambleMutation, 35137, 0
100, 12250.00, 0.20, 0.50, 700, uniformCrossover, swapMutation, 3668, 0
100, 12390.00, 0.20, 0.10, 700, uniformCrossover, scrambleMutation, 57789, 0
100, 12400.00, 0.20, 0.10, 700, singlePointCrossover, scrambleMutation, 58009, 40
100, 12400.00, 0.20, 0.10, 700, twoPointCrossover, inversionMutation, 57975, 78
100, 12400.00, 0.20, 0.10, 700, twoPointCrossover, scrambleMutation, 58042, 98
100, 12400.00, 0.20, 0.10, 700, uniformCrossover, flipMutation, 61072, 77
100, 12380.00, 0.20, 0.10, 700, uniformCrossover, inversionMutation, 60745, 0
100, 12400.00, 0.20, 0.10, 700, twoPointCrossover, flipMutation, 59948, 95
100, 12320.00, 0.20, 0.10, 700, singlePointCrossover, inversionMutation, 60577, 0
100, 12300.00, 0.20, 0.50, 700, singlePointCrossover, swapMutation, 4371, 0
100, 12380.00, 0.20, 0.10, 700, singlePointCrossover, flipMutation, 62351, 0
100, 12350.00, 0.20, 0.20, 700, uniformCrossover, flipMutation, 63820, 0
100, 12310.00, 0.20, 0.50, 700, twoPointCrossover, swapMutation, 5681, 0
100, 12400.00, 0.30, 0.10, 700, uniformCrossover, swapMutation, 5335, 45
100, 12390.00, 0.20, 0.30, 700, uniformCrossover, inversionMutation, 60927, 0
100, 12400.00, 0.20, 0.20, 700, twoPointCrossover, scrambleMutation, 64214, 51
100, 12360.00, 0.20, 0.20, 700, singlePointCrossover, scrambleMutation, 65543, 0
100, 12370.00, 0.20, 0.20, 700, singlePointCrossover, inversionMutation, 65750, 0
100, 12400.00, 0.20, 0.20, 700, singlePointCrossover, flipMutation, 67171, 61
100, 12400.00, 0.20, 0.40, 700, uniformCrossover, flipMutation, 60297, 21
100, 12400.00, 0.20, 0.20, 700, uniformCrossover, inversionMutation, 67849, 18
100, 12380.00, 0.20, 0.30, 700, uniformCrossover, scrambleMutation, 63912, 0
100, 12400.00, 0.20, 0.20, 700, uniformCrossover, scrambleMutation, 68716, 42
100, 12400.00, 0.20, 0.30, 700, twoPointCrossover, inversionMutation, 61796, 29
100, 12400.00, 0.20, 0.20, 700, twoPointCrossover, flipMutation, 67768, 56
100, 11790.00, 0.20, 0.30, 700, uniformCrossover, flipMutation, 66264, 0
100, 12310.00, 0.30, 0.10, 700, singlePointCrossover, swapMutation, 4970, 0
100, 12380.00, 0.20, 0.20, 700, twoPointCrossover, inversionMutation, 68147, 0
100, 12360.00, 0.20, 0.30, 700, twoPointCrossover, flipMutation, 64505, 0
100, 12400.00, 0.20, 0.30, 700, singlePointCrossover, flipMutation, 66248, 91
100, 12400.00, 0.20, 0.30, 700, singlePointCrossover, inversionMutation, 66331, 52
100, 12250.00, 0.30, 0.10, 700, twoPointCrossover, swapMutation, 5270, 0
100, 12260.00, 0.30, 0.20, 700, uniformCrossover, swapMutation, 5224, 0
100, 12390.00, 0.20, 0.30, 700, twoPointCrossover, scrambleMutation, 66958, 0
100, 12360.00, 0.30, 0.20, 700, singlePointCrossover, swapMutation, 5460, 0
100, 12310.00, 0.30, 0.20, 700, twoPointCrossover, swapMutation, 4926, 0
100, 12400.00, 0.20, 0.30, 700, singlePointCrossover, scrambleMutation, 71105, 73
100, 12400.00, 0.20, 0.40, 700, uniformCrossover, scrambleMutation, 67655, 58
100, 12400.00, 0.20, 0.40, 700, uniformCrossover, inversionMutation, 66030, 62
100, 12400.00, 0.30, 0.30, 700, uniformCrossover, swapMutation, 5510, 47
100, 12370.00, 0.30, 0.30, 700, singlePointCrossover, swapMutation, 5370, 0
100, 12400.00, 0.20, 0.40, 700, singlePointCrossover, flipMutation, 70235, 37
100, 12380.00, 0.20, 0.40, 700, singlePointCrossover, scrambleMutation, 68947, 0
100, 12330.00, 0.20, 0.40, 700, twoPointCrossover, flipMutation, 68288, 0
100, 12400.00, 0.20, 0.40, 700, singlePointCrossover, inversionMutation, 69500, 92
100, 12280.00, 0.30, 0.30, 700, twoPointCrossover, swapMutation, 5234, 0
100, 12400.00, 0.20, 0.40, 700, twoPointCrossover, scrambleMutation, 64943, 21
100, 12390.00, 0.20, 0.40, 700, twoPointCrossover, inversionMutation, 65535, 0
100, 12230.00, 0.30, 0.40, 700, uniformCrossover, swapMutation, 4733, 0
100, 12380.00, 0.20, 0.50, 700, uniformCrossover, flipMutation, 66478, 0
100, 12400.00, 0.20, 0.50, 700, uniformCrossover, scrambleMutation, 67115, 74
100, 12370.00, 0.30, 0.40, 700, singlePointCrossover, swapMutation, 4836, 0
100, 12400.00, 0.20, 0.50, 700, uniformCrossover, inversionMutation, 72611, 89
100, 12400.00, 0.20, 0.50, 700, singlePointCrossover, flipMutation, 71367, 33
100, 12280.00, 0.30, 0.40, 700, twoPointCrossover, swapMutation, 5410, 0
100, 12310.00, 0.20, 0.50, 700, twoPointCrossover, flipMutation, 69881, 0
100, 12400.00, 0.20, 0.50, 700, twoPointCrossover, scrambleMutation, 71084, 56
100, 12400.00, 0.20, 0.50, 700, twoPointCrossover, inversionMutation, 70753, 29
100, 12390.00, 0.20, 0.50, 700, singlePointCrossover, scrambleMutation, 73040, 0
100, 12380.00, 0.20, 0.50, 700, singlePointCrossover, inversionMutation, 73825, 0
100, 12250.00, 0.30, 0.50, 700, uniformCrossover, swapMutation, 5611, 0
100, 12390.00, 0.30, 0.10, 700, uniformCrossover, scrambleMutation, 99645, 0
100, 12400.00, 0.30, 0.10, 700, singlePointCrossover, scrambleMutation, 97149, 93
100, 12400.00, 0.30, 0.10, 700, uniformCrossover, inversionMutation, 100142, 97
100, 12390.00, 0.30, 0.10, 700, twoPointCrossover, scrambleMutation, 96851, 0
100, 12280.00, 0.30, 0.50, 700, singlePointCrossover, swapMutation, 6262, 0
100, 12400.00, 0.30, 0.10, 700, twoPointCrossover, flipMutation, 100238, 48
100, 12400.00, 0.30, 0.10, 700, singlePointCrossover, inversionMutation, 102305, 95
100, 12380.00, 0.30, 0.10, 700, uniformCrossover, flipMutation, 110429, 0
100, 12400.00, 0.30, 0.20, 700, twoPointCrossover, flipMutation, 101546, 68
100, 12230.00, 0.30, 0.50, 700, twoPointCrossover, swapMutation, 5473, 0
100, 12380.00, 0.30, 0.10, 700, twoPointCrossover, inversionMutation, 105309, 0
100, 12400.00, 0.30, 0.10, 700, singlePointCrossover, flipMutation, 111781, 23
100, 12400.00, 0.30, 0.20, 700, uniformCrossover, flipMutation, 107535, 4
100, 12330.00, 0.40, 0.10, 700, uniformCrossover, swapMutation, 5522, 0
100, 12400.00, 0.30, 0.20, 700, twoPointCrossover, scrambleMutation, 106302, 82
100, 12400.00, 0.30, 0.20, 700, twoPointCrossover, inversionMutation, 105850, 80
100, 12400.00, 0.30, 0.20, 700, uniformCrossover, inversionMutation, 110980, 65
100, 12400.00, 0.30, 0.20, 700, singlePointCrossover, flipMutation, 110960, 88
100, 12400.00, 0.40, 0.10, 700, singlePointCrossover, swapMutation, 5081, 9
100, 12400.00, 0.30, 0.20, 700, singlePointCrossover, inversionMutation, 110940, 97
100, 12400.00, 0.30, 0.20, 700, uniformCrossover, scrambleMutation, 112524, 50
100, 12400.00, 0.30, 0.20, 700, singlePointCrossover, scrambleMutation, 114202, 22
100, 12400.00, 0.30, 0.30, 700, uniformCrossover, flipMutation, 112064, 83
